product_name,product_type,sales_volume,price,sale_time,date,platform,brand,reviews,rating
Team-oriented 3rdgeneration flexibility,Điện thoại thông minh,2093,483.26,Tháng 1,2024-03-07,Lazada,Dior,207,4.7
Implemented analyzing superstructure,Nội thất,3823,140.49,Tháng 4,2024-02-02,Shopee,Yves Rocher,834,2.9
Sharable zero administration extranet,Sản phẩm làm đẹp,4633,39.39,Tháng 1,2022-04-06,Shopee,Sony,164,4.7
Programmable local approach,Sản phẩm dưỡng móng,3270,228.9,Tháng 4,2024-09-07,Shopee,H&M,808,3.7
Upgradable system-worthy hardware,Dầu xả,4629,298.47,Tháng 1,2023-08-18,Lazada,H&M,598,4.5
Optimized clear-thinking groupware,Serum vitamin C,4734,238.76,Tháng 1,2024-04-21,Shopee,Hada Labo,693,4.3
Multi-lateral grid-enabled access,Máy tính xách tay,612,499.71,Tháng 11,2024-01-13,Lazada,TRESemmé,254,2.0
Programmable logistical protocol,Sản phẩm trị mụn,996,443.64,Tháng 12,2024-06-04,Lazada,Benefit Cosmetics,769,3.0
Enterprise-wide mission-critical implementation,Kem dưỡng,2588,350.77,Tháng 12,2022-10-22,Shopee,Axe,117,1.4
Compatible demand-driven moratorium,Sản phẩm hỗ trợ sinh lý,496,49.47,Tháng 11,2022-02-22,Lazada,Yves Saint Laurent,374,4.2
Enterprise-wide interactive throughput,Sản phẩm giảm cân,1058,16.9,Tháng 7,2024-01-23,Shopee,LANEIGE,776,4.5
User-centric 24/7 Graphical User Interface,Thiết bị thể thao,2544,294.84,Tháng 7,2022-09-14,Lazada,Jojoba Oil,970,1.9
Down-sized solution-oriented array,Sản phẩm chăm sóc da mặt,1078,250.96,Tháng 11,2021-12-17,Lazada,Freeman,986,4.7
Adaptive human-resource portal,Bộ sản phẩm chăm sóc da,4620,79.04,Tháng 10,2024-02-23,Lazada,SNAILWHITE,388,2.1
Advanced regional collaboration,Mỹ phẩm Nhật Bản,1914,380.16,Tháng 12,2024-09-28,Shopee,Garnier SkinActive,963,3.3
Robust 24hour productivity,Bút kẻ mắt,4343,106.55,Tháng 10,2022-06-23,Lazada,Tatcha,296,2.9
Compatible leadingedge architecture,Bộ sản phẩm chăm sóc da,4216,99.88,Tháng 4,2022-01-31,Shopee,Coca-Cola,909,2.7
Fully-configurable background challenge,Văn phòng phẩm,4576,268.32,Tháng 2,2024-01-23,Shopee,Burt's Bees,326,4.0
Digitized cohesive projection,Sản phẩm du lịch,3114,67.77,Tháng 7,2023-05-26,Shopee,Neutrogena,319,3.8
Virtual motivating middleware,Đồ chơi,1687,238.82,Tháng 6,2024-02-09,Shopee,L'Oréal,400,4.3
Business-focused context-sensitive flexibility,Đồ handmade,1495,56.16,Tháng 10,2022-01-20,Shopee,Yves Saint Laurent,944,1.7
Distributed uniform alliance,Máy làm đẹp,3961,259.85,Tháng 8,2023-03-07,Lazada,Coca-Cola,928,3.1
Proactive hybrid matrices,Thực phẩm chức năng,4321,202.08,Tháng 7,2023-05-31,Shopee,Head & Shoulders,177,2.1
Triple-buffered directional concept,Thiết bị chiếu sáng,3263,324.37,Tháng 10,2022-08-02,Shopee,Benton,824,2.1
Down-sized optimizing leverage,Sản phẩm giảm cân,4013,86.64,Tháng 11,2023-07-10,Shopee,Himalaya,874,2.6
Public-key hybrid core,Sản phẩm chăm sóc da mặt,924,372.21,Tháng 9,2022-01-13,Lazada,Dove,545,3.6
Secured foreground superstructure,Nước hoa nam,3363,157.68,Tháng 1,2024-05-29,Lazada,Garnier SkinActive,246,2.8
Ameliorated mission-critical portal,Máy làm đẹp,157,243.35,Tháng 3,2023-08-10,Shopee,Make Up For Ever,668,3.9
Mandatory 6thgeneration algorithm,Bảng phấn mắt,457,163.16,Tháng 12,2023-08-06,Shopee,Innisfree,324,3.0
Innovative stable architecture,Sản phẩm dưỡng móng,2982,445.28,Tháng 11,2024-08-08,Lazada,Nestle,409,3.6
Progressive multi-tasking policy,Sản phẩm bảo vệ môi trường,763,428.06,Tháng 12,2023-10-14,Lazada,Nivea,770,2.2
Profit-focused bifurcated collaboration,Giày dép,3518,286.3,Tháng 12,2023-09-10,Lazada,Anastasia Beverly Hills,615,1.4
Ameliorated needs-based attitude,Dầu xả,664,495.42,Tháng 4,2022-02-05,Lazada,Sally Hansen,923,1.2
Compatible analyzing customer loyalty,Son môi,2649,462.61,Tháng 1,2023-10-20,Shopee,Physiogel,971,4.0
Enterprise-wide zero administration hub,Sản phẩm chống nắng,3732,221.11,Tháng 1,2022-08-01,Shopee,Aveda,375,2.8
Optional 24/7 attitude,Nước hoa nam,478,101.31,Tháng 11,2024-02-06,Shopee,Paula's Choice,681,3.6
Organic 6thgeneration interface,Máy lọc không khí,120,100.09,Tháng 10,2022-08-06,Lazada,Fa,512,1.5
Mandatory multi-tasking workforce,Sản phẩm làm sạch sâu,4324,383.02,Tháng 3,2021-12-18,Lazada,Smashbox,251,1.9
Realigned zero tolerance synergy,Sản phẩm làm sạch,1002,271.3,Tháng 1,2023-03-02,Shopee,Farsali,60,1.4
Down-sized human-resource website,Máy tính xách tay,4141,102.71,Tháng 12,2023-12-02,Lazada,Burt's Bees,576,2.1
Public-key zero tolerance complexity,Dầu xả,4322,315.2,Tháng 8,2022-04-13,Shopee,Drunk Elephant,604,3.1
Programmable full-range firmware,Máy lọc không khí,119,337.45,Tháng 2,2024-02-21,Shopee,P&G,868,2.4
Automated incremental product,Kem mắt,1296,425.94,Tháng 4,2023-12-12,Lazada,Dove,160,3.3
Extended next generation functionalities,Thiết bị điện tử,2390,422.94,Tháng 9,2021-12-03,Shopee,Dove,66,1.3
Reactive bifurcated data-warehouse,Serum retinol,350,215.0,Tháng 6,2022-10-10,Lazada,Dell,449,2.2
Programmable executive array,Mỹ phẩm Nhật Bản,2565,480.87,Tháng 10,2022-08-18,Lazada,LG,845,2.1
Optimized fault-tolerant knowledgebase,Bảng phấn mắt,3095,342.28,Tháng 12,2021-12-09,Shopee,Dr. Jart+,928,3.8
Fully-configurable intermediate toolset,Điện tử,4406,446.22,Tháng 11,2022-09-12,Shopee,NARS,305,4.4
Open-architected composite architecture,Đồ gia dụng,933,455.19,Tháng 11,2022-01-08,Shopee,The Ordinary,23,4.9
Centralized local hierarchy,Thiết bị gia đình,106,354.08,Tháng 12,2021-11-12,Shopee,The Body Shop Tea Tree,956,1.0
Distributed mission-critical project,Nước hoa nữ,2611,95.14,Tháng 2,2024-02-15,Shopee,Biore,980,2.2
Diverse systematic array,Sản phẩm dưỡng móng,2417,307.28,Tháng 5,2023-08-19,Lazada,Olay Regenerist,796,1.1
Secured 4thgeneration framework,Sản phẩm hỗ trợ sinh lý,136,11.18,Tháng 9,2022-08-20,Shopee,Neutrogena,104,3.7
Re-engineered bandwidth-monitored secured line,Mì ăn liền,1853,494.88,Tháng 1,2024-02-16,Lazada,Eucerin,247,4.4
Synchronized system-worthy time-frame,Sản phẩm tập thể dục,4769,408.44,Tháng 5,2023-09-14,Shopee,Dior,97,1.9
Triple-buffered heuristic approach,Nội thất,4449,472.18,Tháng 6,2024-03-02,Shopee,Almay,198,2.5
Digitized modular conglomeration,Sản phẩm bảo vệ môi trường,1583,352.71,Tháng 8,2023-07-09,Shopee,Burt's Bees,808,3.1
Cloned impactful array,Mỹ phẩm,1453,466.41,Tháng 2,2024-02-24,Shopee,LG,541,1.8
Synergistic hybrid time-frame,Nước cân bằng,3298,114.71,Tháng 6,2023-12-17,Shopee,H&M,778,4.3
Sharable empowering strategy,Đồ dùng trẻ em,375,136.67,Tháng 8,2024-09-16,Shopee,Dior,967,4.2
Enterprise-wide context-sensitive toolset,Mỹ phẩm tự nhiên,3520,298.18,Tháng 5,2024-06-17,Lazada,L'Oreal Elvive,629,2.5
Profound asymmetric task-force,Nước tẩy trang,431,150.76,Tháng 10,2021-12-13,Shopee,P&G,43,1.8
Switchable mission-critical algorithm,Bảng phấn mắt,4630,125.26,Tháng 11,2022-06-11,Shopee,Burt's Bees,325,1.4
Exclusive user-facing orchestration,Sản phẩm giảm cân,1405,479.41,Tháng 6,2022-10-26,Shopee,Smashbox,225,1.5
Assimilated leadingedge leverage,Mặt nạ thiên nhiên,1787,341.58,Tháng 10,2021-12-20,Shopee,Paula's Choice,559,3.9
Business-focused full-range archive,Sản phẩm làm săn chắc,3100,433.55,Tháng 9,2023-01-06,Shopee,Yves Rocher,875,3.6
De-engineered well-modulated service-desk,Nước hoa,2273,175.78,Tháng 4,2022-02-17,Shopee,Almay,14,2.7
Universal attitude-oriented system engine,Nước tẩy trang,239,291.6,Tháng 11,2024-01-18,Shopee,Jojoba Oil,705,2.4
Programmable 5thgeneration framework,Sản phẩm tập thể dục,2527,307.98,Tháng 5,2024-01-26,Lazada,Innisfree,406,3.8
Multi-layered multi-state throughput,Sản phẩm tập thể dục,1680,472.41,Tháng 10,2022-12-19,Lazada,Hada Labo,400,2.0
Future-proofed incremental focus group,Mỹ phẩm Nhật Bản,2573,90.45,Tháng 1,2023-12-04,Lazada,Sunsilk,518,4.1
Proactive coherent Graphic Interface,Bút kẻ mắt,2044,135.03,Tháng 8,2023-08-13,Shopee,SK-II,899,4.5
Focused motivating help-desk,Thiết bị thể thao,4194,399.69,Tháng 10,2023-08-18,Shopee,Physiogel,412,1.9
Pre-emptive demand-driven Internet solution,Gia dụng,1026,281.81,Tháng 9,2023-12-25,Lazada,Dior,766,3.4
Re-contextualized optimizing portal,Thời trang,3290,61.69,Tháng 8,2022-12-13,Shopee,SK-II,878,4.9
Synergized web-enabled system engine,Sản phẩm làm sạch sâu,2470,441.72,Tháng 7,2023-07-12,Shopee,Dove Body Wash,323,2.4
Intuitive well-modulated budgetary management,Văn phòng phẩm,1047,446.9,Tháng 8,2022-07-10,Lazada,Chanel,435,4.2
Profound holistic moderator,Sản phẩm chăm sóc thú cưng,3413,494.85,Tháng 7,2023-10-07,Shopee,Almay,407,3.7
Versatile multi-tasking alliance,Đồ uống,3296,126.08,Tháng 12,2024-09-12,Lazada,Vichy,368,3.6
Programmable solution-oriented knowledgebase,Sản phẩm dưỡng ẩm,166,363.62,Tháng 4,2022-11-08,Shopee,NARS,998,1.3
Multi-tiered executive database,Mỹ phẩm,4653,21.72,Tháng 4,2024-08-01,Shopee,Benton,236,1.2
Optional explicit concept,Dầu xả,1063,384.19,Tháng 1,2023-03-12,Lazada,Tatcha,445,2.9
Implemented optimal matrix,Sản phẩm chống nắng,4978,363.03,Tháng 1,2022-08-26,Lazada,LG,98,2.2
Quality-focused empowering contingency,Son môi,887,478.68,Tháng 12,2021-11-26,Lazada,Freeman,631,2.6
Fully-configurable cohesive moratorium,Dầu gội,4581,398.03,Tháng 12,2024-04-30,Shopee,Revlon,486,2.8
Cross-platform interactive challenge,Kem dưỡng,4346,84.11,Tháng 1,2024-03-09,Shopee,Missha,126,1.3
Seamless interactive parallelism,Nội thất,2225,129.83,Tháng 11,2024-09-09,Lazada,Tarte Cosmetics,436,2.1
Profound upward-trending firmware,Sản phẩm chăm sóc thú cưng,318,111.6,Tháng 11,2023-03-26,Shopee,Benefit Cosmetics,953,4.1
Grass-roots fault-tolerant attitude,Mỹ phẩm tự nhiên,4865,315.44,Tháng 7,2022-09-20,Lazada,Shu Uemura,757,3.9
Persevering encompassing policy,Đồ handmade,1165,34.28,Tháng 12,2024-06-26,Shopee,L'Oreal Paris,487,1.3
Grass-roots bottom-line encryption,Sản phẩm làm sạch,739,340.54,Tháng 12,2022-12-25,Lazada,Yves Saint Laurent,575,3.7
Proactive encompassing instruction set,Văn phòng phẩm,172,282.65,Tháng 1,2022-07-10,Lazada,Pampers,370,2.3
Profit-focused asynchronous core,Sản phẩm trị mụn,3578,32.14,Tháng 8,2022-07-19,Shopee,Kiehl's,526,3.3
Automated coherent moderator,Điện thoại thông minh,1727,291.99,Tháng 7,2024-07-08,Shopee,Coty,427,2.5
Re-engineered composite protocol,Sản phẩm chống gàu,4794,274.84,Tháng 6,2022-06-07,Lazada,Kraft,743,2.7
Extended reciprocal flexibility,Sản phẩm làm trắng,1939,407.42,Tháng 6,2022-02-04,Lazada,SK-II,213,4.7
Inverse actuating throughput,Mỹ phẩm tự nhiên,1874,495.47,Tháng 10,2022-02-25,Shopee,Hada Labo,792,3.6
Inverse fault-tolerant frame,Sản phẩm giảm cân,3377,334.45,Tháng 11,2023-03-31,Shopee,Clarins,516,4.5
Total multimedia emulation,Đồ gia dụng,4579,250.44,Tháng 10,2022-01-27,Lazada,Dell,256,4.7
Cross-group needs-based framework,Mỹ phẩm hữu cơ,2644,29.06,Tháng 7,2024-04-23,Shopee,Kiehl's,932,3.6
Synergistic human-resource monitoring,Thiết bị điện tử,1678,289.53,Tháng 2,2023-06-17,Shopee,Kiehl's,836,1.0
Cross-group even-keeled forecast,Phụ kiện thời trang,4864,489.46,Tháng 3,2021-11-20,Lazada,The Ordinary,268,4.2
Versatile content-based policy,Nước tẩy trang,543,303.45,Tháng 2,2024-05-23,Lazada,Clarins,10,3.0
Multi-layered needs-based flexibility,Túi xách,681,461.37,Tháng 6,2021-11-23,Lazada,Freeman,622,4.8
Virtual bi-directional migration,Đồ trang trí,4324,467.25,Tháng 11,2024-04-06,Lazada,Dior,233,3.9
Right-sized stable solution,Sản phẩm chăm sóc da mặt,3151,403.74,Tháng 8,2022-08-06,Lazada,Kose,523,2.4
Fundamental real-time interface,Thiết bị điện tử,21,210.53,Tháng 1,2022-06-14,Lazada,Estée Lauder,943,4.8
Seamless national Local Area Network,Kem chống nắng hóa học,3278,438.63,Tháng 2,2022-08-07,Shopee,Freeman,580,4.4
Configurable homogeneous knowledgebase,Sản phẩm làm mềm da,372,33.04,Tháng 12,2022-07-18,Lazada,Olay Regenerist,800,3.7
Integrated national alliance,Nội thất,2753,402.43,Tháng 8,2022-05-25,Shopee,Nivea,96,3.3
Function-based multi-state Local Area Network,Đồ bơi,2247,484.93,Tháng 9,2024-05-05,Shopee,Mason Jar,49,3.6
Programmable stable concept,Bộ sản phẩm chăm sóc da,2162,15.56,Tháng 2,2023-04-14,Shopee,SkinCeuticals,803,2.2
Multi-layered local challenge,Thiết bị điện tử,4278,223.92,Tháng 4,2023-02-16,Shopee,Sony,660,1.5
Advanced radical architecture,Thiết bị thể thao,3360,458.65,Tháng 11,2022-04-18,Lazada,Physiogel,243,1.2
Down-sized contextually-based intranet,Kem dưỡng,425,72.22,Tháng 6,2022-02-09,Lazada,Tarte Cosmetics,961,4.7
Face-to-face 5thgeneration contingency,Kem chống nắng hóa học,3185,448.38,Tháng 8,2024-03-10,Shopee,Dove,283,1.1
Switchable intangible Internet solution,Bột ăn dặm,1443,182.24,Tháng 1,2022-09-03,Lazada,Essie,689,1.4
Advanced tertiary interface,Sản phẩm giảm thâm,4360,331.34,Tháng 6,2023-06-11,Lazada,Urban Decay,923,1.9
Pre-emptive modular frame,Sản phẩm chăm sóc thú cưng,794,55.85,Tháng 5,2022-03-30,Shopee,Coca-Cola,11,2.8
Re-engineered modular productivity,Đồ dùng nhà bếp,4746,352.48,Tháng 7,2024-04-19,Shopee,Neutrogena,94,3.9
Multi-channeled bi-directional definition,Đồ handmade,2590,320.13,Tháng 9,2022-06-30,Shopee,Himalaya,745,1.0
Right-sized background application,Bút kẻ mắt,4636,406.87,Tháng 6,2024-01-08,Lazada,Bobbi Brown,755,2.0
Re-contextualized hybrid portal,Nước hoa hồng,554,279.3,Tháng 12,2024-02-15,Lazada,Zalora,261,4.2
Organic grid-enabled software,Dầu gội,1439,281.29,Tháng 12,2022-10-30,Lazada,Clarins,51,2.5
Digitized zero-defect service-desk,Sản phẩm làm săn chắc,2985,377.39,Tháng 5,2024-07-31,Lazada,Olay Regenerist,461,2.7
Monitored zero tolerance functionalities,Sản phẩm chăm sóc da mặt,2049,282.85,Tháng 2,2022-04-11,Shopee,The Body Shop,945,3.1
Triple-buffered 5thgeneration Graphic Interface,Sản phẩm chăm sóc sức khỏe,1463,168.71,Tháng 8,2024-08-29,Shopee,Huda Beauty,546,1.4
Digitized 3rdgeneration info-mediaries,Đồ gia dụng,1507,280.73,Tháng 6,2024-10-03,Shopee,Too Faced,711,3.3
Programmable discrete hub,Sản phẩm làm sạch cơ thể,3441,322.82,Tháng 11,2024-10-09,Lazada,Bobbi Brown,931,3.5
Configurable discrete intranet,Đồ uống,4134,203.42,Tháng 3,2023-12-09,Shopee,Revlon Colorstay,433,3.7
Multi-layered contextually-based parallelism,Đồ chơi,1296,182.57,Tháng 11,2022-09-21,Shopee,Colgate,920,4.3
Integrated modular project,Đồ dùng nhà bếp,3252,271.0,Tháng 8,2024-07-23,Lazada,MAC Cosmetics,582,4.2
Re-contextualized mobile model,Mì ăn liền,2795,347.76,Tháng 10,2024-05-13,Lazada,Etude House,782,2.4
Right-sized encompassing algorithm,Sữa tắm,8,461.63,Tháng 5,2023-05-12,Shopee,Missha,984,2.3
Team-oriented impactful access,Gel lô hội,764,437.35,Tháng 10,2024-06-02,Shopee,Huggies,39,1.7
Vision-oriented bottom-line synergy,Mặt nạ ngủ,1394,289.16,Tháng 6,2024-07-22,Shopee,Bobbi Brown,191,3.1
Synergized content-based interface,Bột ăn dặm,4836,419.73,Tháng 4,2022-09-04,Lazada,Head & Shoulders,78,1.5
Function-based homogeneous capacity,Bút kẻ mắt,4582,200.3,Tháng 3,2024-10-08,Shopee,Tarte Cosmetics,780,2.6
Reactive optimal productivity,Thực phẩm,3851,27.97,Tháng 7,2022-02-04,Shopee,Dove Men+Care,414,1.5
Organic local customer loyalty,Gia dụng,2598,17.15,Tháng 12,2023-11-02,Shopee,Clarins,237,2.7
Optimized high-level core,Sản phẩm chăm sóc thú cưng,1682,120.67,Tháng 5,2024-05-15,Shopee,Revlon,553,3.8
Robust tertiary parallelism,Đồ dùng nhà bếp,3508,342.72,Tháng 8,2023-10-16,Lazada,Innisfree,785,4.9
Seamless foreground open system,Sản phẩm tập thể dục,4460,19.9,Tháng 1,2022-06-28,Shopee,Etude House,649,4.9
Optimized 24/7 parallelism,Sản phẩm chăm sóc da mặt,1469,33.16,Tháng 4,2023-11-02,Lazada,Pond's,68,4.0
Automated empowering capability,Kem chống nắng vật lý,342,189.97,Tháng 9,2023-11-17,Lazada,Nivea,937,1.5
Cross-group asynchronous access,Thiết bị chiếu sáng,4103,406.25,Tháng 11,2024-07-21,Lazada,Aveeno,890,3.9
Front-line bi-directional utilization,Mì ăn liền,4645,451.1,Tháng 2,2023-03-03,Shopee,Maybelline,674,3.8
Optimized analyzing core,Phấn phủ,1666,77.5,Tháng 9,2022-10-05,Lazada,Uniqlo,530,3.8
Balanced composite standardization,Máy làm đẹp,2899,227.86,Tháng 2,2023-03-22,Shopee,Physiogel,640,3.9
Down-sized responsive workforce,Đồ bơi,4703,84.03,Tháng 11,2023-12-24,Shopee,Zalora,992,2.1
Assimilated foreground focus group,Kem chống nắng hóa học,987,315.14,Tháng 7,2023-03-27,Lazada,Maybelline,147,4.9
Optional foreground utilization,Sản phẩm làm mềm da,3006,252.79,Tháng 1,2021-11-05,Shopee,Althea,78,1.5
Organic optimizing function,Đồ dùng học tập,2454,386.33,Tháng 2,2022-03-07,Shopee,Dell,389,3.8
Customer-focused static alliance,Thực phẩm,3530,457.27,Tháng 8,2024-10-07,Shopee,Althea,645,2.3
Adaptive 24hour task-force,Máy sấy tóc,4048,16.92,Tháng 12,2024-05-13,Lazada,Tony Moly,248,1.4
Networked foreground moderator,Giày dép,2996,109.58,Tháng 4,2023-02-02,Lazada,MAC Cosmetics,874,2.8
Public-key user-facing middleware,Son bóng,2487,240.85,Tháng 2,2023-10-20,Shopee,Uniqlo,362,1.1
Advanced reciprocal concept,Mỹ phẩm hữu cơ,118,460.62,Tháng 12,2021-12-04,Lazada,Neutrogena,681,3.9
Optimized uniform matrix,Sữa tắm,2445,231.77,Tháng 1,2022-06-18,Lazada,Shiseido,738,3.3
Quality-focused background archive,Nước hoa nam,973,146.97,Tháng 5,2024-09-20,Shopee,Tony Moly,333,1.2
Centralized contextually-based secured line,Đồ handmade,436,261.26,Tháng 10,2022-02-15,Shopee,LG,164,4.9
Monitored bottom-line Local Area Network,Mặt nạ dưỡng da,2780,346.46,Tháng 6,2022-01-13,Lazada,Garnier Fructis,497,2.2
Multi-layered discrete moderator,Thực phẩm sạch,2148,246.93,Tháng 2,2022-09-26,Shopee,Nestle,490,3.7
Automated bandwidth-monitored intranet,Serum vitamin C,3911,165.69,Tháng 11,2021-12-03,Shopee,Chanel,599,1.0
Versatile leadingedge firmware,Gel tắm,2763,131.38,Tháng 4,2023-09-30,Shopee,Revlon Colorstay,277,2.4
Reactive mobile Local Area Network,Nước hoa nam,4487,414.59,Tháng 6,2022-08-24,Lazada,Eucerin,472,3.3
Pre-emptive next generation customer loyalty,Serum vitamin C,4613,314.75,Tháng 3,2022-08-20,Shopee,Revlon,817,3.5
Up-sized didactic parallelism,Sản phẩm xịt khoáng,3825,437.32,Tháng 9,2022-02-25,Shopee,MAC Cosmetics,398,1.9
Diverse executive open system,Sách,682,274.67,Tháng 12,2023-10-09,Shopee,Nike,509,3.0
Inverse executive application,Son bóng,1615,225.72,Tháng 11,2021-11-25,Lazada,Paula's Choice,23,1.9
Enhanced didactic middleware,Thực phẩm,1053,282.45,Tháng 11,2023-12-31,Lazada,Nivea Men,992,1.0
Persevering static circuit,Bảng phấn mắt,2373,186.86,Tháng 2,2023-11-28,Lazada,Biore,518,4.5
Devolved explicit alliance,Đồ gỗ,285,103.01,Tháng 8,2022-12-02,Lazada,Dove,531,4.7
Progressive 24hour forecast,Đồ chơi,1902,347.05,Tháng 6,2021-11-07,Lazada,Jojoba Oil,675,2.5
User-friendly systematic monitoring,Thiết bị điện tử,646,435.68,Tháng 12,2023-10-30,Lazada,Nivea,857,4.2
Secured mission-critical conglomeration,Nước hoa nữ,4600,198.5,Tháng 12,2024-07-23,Shopee,Nike,14,3.8
User-friendly multi-tasking archive,Thiết bị âm thanh,2146,357.34,Tháng 8,2023-01-06,Shopee,Burt's Bees,243,2.4
Face-to-face mobile Local Area Network,Thực phẩm chức năng giảm cân,627,310.06,Tháng 11,2022-02-03,Shopee,Nike,527,1.3
Visionary homogeneous orchestration,Đồ dùng nhà bếp,1326,409.37,Tháng 9,2024-01-18,Shopee,Uniqlo,547,1.7
Up-sized methodical application,Mỹ phẩm hữu cơ,3322,238.07,Tháng 6,2024-02-28,Lazada,Tatcha,232,2.8
Balanced 6thgeneration encoding,Đồ chơi,4117,92.73,Tháng 1,2023-05-08,Lazada,Revlon Colorstay,95,3.9
Persevering neutral migration,Sản phẩm làm sạch sâu,2405,408.32,Tháng 6,2022-04-06,Lazada,Laneige,67,4.7
Phased 24/7 matrix,Sản phẩm hỗ trợ sinh lý,2867,392.08,Tháng 7,2023-09-26,Lazada,Vichy,870,4.8
Automated stable attitude,Sản phẩm du lịch,3572,196.63,Tháng 7,2024-09-29,Lazada,Sally Hansen,588,3.6
Grass-roots didactic parallelism,Serum retinol,4296,99.8,Tháng 9,2023-09-06,Lazada,Dr. Jart+,671,1.1
Virtual value-added software,Kem dưỡng,4333,29.77,Tháng 4,2023-04-08,Lazada,Colgate,844,4.2
Centralized empowering benchmark,Thực phẩm chức năng giảm cân,3848,141.06,Tháng 1,2022-01-30,Shopee,Dove Men+Care,463,1.8
Cross-platform non-volatile secured line,Máy sấy tóc,4194,302.8,Tháng 4,2024-07-27,Shopee,Himalaya,431,1.0
Object-based bi-directional product,Túi xách,2493,408.32,Tháng 12,2024-03-14,Lazada,Tony Moly,261,4.5
Virtual explicit extranet,Thiết bị âm thanh,1852,101.74,Tháng 6,2022-03-27,Lazada,TRESemmé,772,4.6
Organized actuating challenge,Sản phẩm chống lão hóa,2091,96.33,Tháng 7,2023-11-23,Lazada,Etude House,497,2.4
Optimized non-volatile process improvement,Gia dụng,3874,336.0,Tháng 4,2024-10-03,Shopee,Dove Men+Care,207,3.9
Organized motivating knowledgebase,Sản phẩm dưỡng ẩm,1948,223.01,Tháng 3,2022-02-17,Lazada,Dove,437,5.0
Cross-group cohesive ability,Kem mắt,1315,282.73,Tháng 2,2023-04-29,Shopee,Wella,202,1.5
Enterprise-wide motivating capacity,Thiết bị chiếu sáng,3533,395.74,Tháng 3,2022-07-15,Lazada,Garnier,433,1.6
Quality-focused empowering infrastructure,Thiết bị gia đình,3014,487.62,Tháng 3,2022-12-24,Lazada,O.P.I.,311,4.4
Phased context-sensitive intranet,Đồ dùng trẻ em,3752,280.1,Tháng 4,2023-10-14,Lazada,Sony,34,5.0
Robust client-server help-desk,Sản phẩm làm sạch cơ thể,4581,201.81,Tháng 7,2022-08-16,Shopee,Avène,923,4.6
Up-sized user-facing capability,Sản phẩm chăm sóc da mặt,3065,101.43,Tháng 3,2022-05-27,Shopee,Neutrogena,277,1.0
Horizontal tangible conglomeration,Thời trang,1036,336.09,Tháng 3,2023-06-29,Lazada,The Body Shop Tea Tree,513,3.9
Profit-focused dynamic encoding,Gel tắm,192,86.25,Tháng 3,2024-10-01,Shopee,LG,969,3.7
Right-sized exuding utilization,Sản phẩm chăm sóc da mặt,3608,100.78,Tháng 12,2023-12-11,Shopee,Garnier,363,4.7
Programmable zero tolerance open architecture,Phụ kiện điện thoại,1755,455.92,Tháng 11,2023-11-06,Shopee,Zalora,264,1.8
Persevering asymmetric policy,Sản phẩm chăm sóc thú cưng,2542,105.35,Tháng 7,2023-10-23,Shopee,The Ordinary,286,2.6
Reverse-engineered human-resource protocol,Đồ chơi giáo dục,4952,164.04,Tháng 11,2022-07-03,Shopee,Dove Body Wash,298,2.4
Robust disintermediate hub,Son bóng,2484,109.76,Tháng 8,2024-01-13,Lazada,L'Occitane,490,1.7
Persistent bottom-line archive,Sản phẩm giảm thâm,3024,455.62,Tháng 6,2024-05-14,Lazada,Axe,725,1.2
Multi-channeled dedicated standardization,Kem chống nắng hóa học,20,240.4,Tháng 3,2024-08-24,Shopee,Dove,277,1.7
Decentralized responsive archive,Thiết bị âm thanh,4121,36.23,Tháng 3,2023-10-20,Lazada,Too Faced,918,3.8
Cross-platform 3rdgeneration complexity,Thực phẩm,1321,430.72,Tháng 10,2023-05-25,Shopee,Nestle,705,1.7
Decentralized 24hour flexibility,Sản phẩm làm săn chắc,4308,96.35,Tháng 6,2022-06-07,Shopee,SkinCeuticals,798,2.4
Cloned actuating synergy,Đồ gia dụng,177,62.11,Tháng 5,2022-06-24,Shopee,Paula's Choice,99,1.2
Stand-alone explicit interface,Thiết bị chiếu sáng,240,236.55,Tháng 6,2023-10-31,Lazada,Smashbox,748,2.4
Switchable clear-thinking website,Bút kẻ mày,2404,335.7,Tháng 8,2023-04-08,Lazada,Benton,918,3.4
Open-source object-oriented attitude,Thiết bị điện tử,3447,57.82,Tháng 12,2022-04-10,Shopee,Huda Beauty,813,4.6
Face-to-face heuristic ability,Thiết bị gia đình,1162,240.51,Tháng 7,2023-03-18,Lazada,Axe,628,2.6
Polarized uniform alliance,Sản phẩm làm sạch,4385,226.35,Tháng 9,2023-03-20,Shopee,Physiogel,401,2.1
Upgradable bi-directional hub,Đồ dùng nhà bếp,215,137.57,Tháng 1,2023-07-18,Lazada,Adidas,340,1.5
Front-line 5thgeneration policy,Mỹ phẩm Hàn Quốc,913,486.31,Tháng 6,2021-11-08,Lazada,TIGI,200,2.9
Configurable empowering database,Sản phẩm làm săn chắc,3841,479.37,Tháng 7,2024-03-13,Lazada,Tatcha,135,3.9
Horizontal homogeneous conglomeration,Đồ dùng trẻ em,1242,300.4,Tháng 11,2022-05-08,Shopee,The Body Shop Tea Tree,109,2.9
Seamless neutral throughput,Đồ dùng học tập,1232,366.74,Tháng 7,2022-10-14,Lazada,Garnier SkinActive,588,5.0
Optimized local process improvement,Nước hoa nam,4659,69.98,Tháng 4,2022-08-24,Lazada,Missha,434,4.0
